CustomerID,Recency,Frequency,Monetary,R,M,F,RFMsum
144.0,56,1,2100.0,3,4,4,11
145.0,10,11,25990.0,1,4,4,9
146.0,45,26,113854.0,3,2,4,9
147.0,2,9,23046.0,1,4,4,9
148.0,91,2,2920.0,4,4,4,12
150.0,62,3,8570.0,3,4,4,11
151.0,20,5,2260.0,2,4,4,10
152.0,35,1,1530.0,3,4,4,11
153.0,287,2,3498.0,4,4,4,12
154.0,105,1,2240.0,4,4,4,12
155.0,10,20,38725.0,1,4,4,9
156.0,31,1,2046.0,3,4,4,11
157.0,19,16,39424.0,2,4,4,10
158.0,20,44,124780.0,2,2,2,6
159.0,39,2,4548.0,3,4,4,11
161.0,84,3,5688.0,3,4,4,11
162.0,56,2,3438.0,3,4,4,11
165.0,81,9,20296.0,3,4,4,11
166.0,364,1,2720.0,4,4,4,12
168.0,26,23,52599.0,3,2,4,9
169.0,52,5,2248.0,3,4,4,11
171.0,7,2,2016.0,1,4,4,9
172.0,321,5,11384.0,4,4,4,12
173.0,6,10,23610.0,1,4,4,9
174.0,305,3,7158.0,4,4,4,12
175.0,23,24,51930.0,2,2,4,8
176.0,266,5,13440.0,4,4,4,12
177.0,292,1,2052.0,4,4,4,12
179.0,11,52,140053.0,2,2,2,6
180.0,25,7,17568.0,3,4,4,11
181.0,42,2,6840.0,3,4,4,11
182.0,55,8,12640.0,3,4,4,11
184.0,201,1,2046.0,4,4,4,12
185.0,98,5,7059.0,4,4,4,12
186.0,70,8,4115.0,3,4,4,11
187.0,22,8,26868.0,2,4,4,10
188.0,86,1,1800.0,4,4,4,12
189.0,250,1,3012.0,4,4,4,12
190.0,223,1,2232.0,4,4,4,12
191.0,245,1,4224.0,4,4,4,12
192.0,5,65,341129.0,1,1,2,4
193.0,17,8,17009.0,2,4,4,10
194.0,202,10,42892.0,4,4,4,12
195.0,372,1,-1818.0,4,4,4,12
197.0,284,3,4992.0,4,4,4,12
199.0,167,13,180568.0,4,1,4,9
200.0,321,2,3330.0,4,4,4,12
201.0,45,3,7860.0,3,4,4,11
202.0,15,5,13692.0,2,4,4,10
203.0,55,12,40000.0,3,4,4,11
204.0,59,3,10113.0,3,4,4,11
205.0,14,11,23730.0,2,4,4,10
206.0,21,15,42942.0,2,4,4,10
207.0,9,6,12792.0,1,4,4,9
208.0,33,11,93459.0,3,2,4,9
209.0,310,2,3432.0,4,4,4,12
214.0,40,14,-1610.0,3,4,4,11
215.0,14,7,21504.0,2,4,4,10
216.0,54,2,4011.0,3,4,4,11
217.0,53,7,22022.0,3,4,4,11
218.0,83,1,4488.0,3,4,4,11
219.0,34,11,28541.0,3,4,4,11
221.0,5,15,37344.0,1,4,4,9
222.0,96,5,11604.0,4,4,4,12
225.0,20,5,20352.0,2,4,4,10
226.0,20,7,18564.0,2,4,4,10
227.0,5,61,256966.0,1,1,2,4
228.0,242,1,1776.0,4,4,4,12
229.0,78,3,9792.0,3,4,4,11
230.0,113,4,8556.0,4,4,4,12
231.0,214,8,25614.0,4,4,4,12
232.0,12,29,74952.0,2,2,2,6
233.0,10,27,73549.0,1,2,2,5
235.0,51,3,5988.0,3,4,4,11
236.0,61,2,6474.0,3,4,4,11
237.0,67,8,15906.0,3,4,4,11
238.0,93,4,10530.0,4,4,4,12
239.0,10,54,127378.0,1,2,2,5
240.0,35,5,11298.0,3,4,4,11
242.0,29,10,25656.0,3,4,4,11
244.0,34,2,7800.0,3,4,4,11
246.0,103,3,7932.0,4,4,4,12
247.0,15,10,39732.0,2,4,4,10
249.0,13,18,47147.0,2,4,4,10
250.0,74,1,4760.0,3,4,4,11
251.0,111,6,26850.0,4,4,4,12
252.0,6,2,1920.0,1,4,4,9
253.0,19,3,5730.0,2,4,4,10
254.0,334,5,10412.0,4,4,4,12
255.0,152,12,73510.0,4,2,4,10
256.0,131,4,9682.0,4,4,4,12
257.0,22,20,69500.0,2,2,4,8
258.0,81,7,10501.0,3,4,4,11
259.0,20,3,5194.0,2,4,4,10
261.0,191,3,11196.0,4,4,4,12
262.0,3,29,76418.0,1,2,2,5
266.0,62,2,4248.0,3,4,4,11
267.0,20,10,24960.0,2,4,4,10
268.0,151,18,39168.0,4,4,4,12
269.0,11,20,84696.0,2,2,4,8
271.0,8,4,6978.0,1,4,4,9
272.0,11,29,64199.0,2,2,2,6
273.0,28,2,4224.0,3,4,4,11
274.0,50,28,305467.0,3,1,2,6
275.0,231,4,11208.0,4,4,4,12
276.0,1,18,37556.0,1,4,4,9
277.0,9,76,241772.0,1,1,2,4
278.0,4,46,109058.0,1,2,2,5
279.0,7,23,65594.0,1,2,4,7
280.0,29,18,89664.0,3,2,4,9
281.0,11,25,53238.0,2,2,4,8
282.0,464,4,7490.0,4,4,4,12
283.0,114,15,63640.0,4,2,4,10
284.0,26,7,17470.0,3,4,4,11
285.0,213,2,7440.0,4,4,4,12
286.0,36,4,37188.0,3,4,4,11
287.0,273,4,8280.0,4,4,4,12
288.0,75,7,16320.0,3,4,4,11
289.0,111,2,3912.0,4,4,4,12
291.0,10,27,65682.0,1,2,2,5
292.0,243,7,12600.0,4,4,4,12
294.0,163,1,1632.0,4,4,4,12
295.0,9,7,22776.0,1,4,4,9
296.0,13,48,129580.0,2,2,2,6
297.0,301,2,5226.0,4,4,4,12
298.0,9,23,56167.0,1,2,4,7
299.0,11,36,99419.0,2,2,2,6
300.0,11,7,18096.0,2,4,4,10
301.0,150,6,14861.0,4,4,4,12
302.0,3,1,2880.0,1,4,4,9
303.0,69,15,33810.0,3,4,4,11
304.0,111,3,7654.0,4,4,4,12
305.0,5,3,6006.0,1,4,4,9
306.0,246,1,1864.0,4,4,4,12
307.0,193,1,2448.0,4,4,4,12
308.0,68,2,5376.0,3,4,4,11
309.0,3,46,90946.0,1,2,2,5
310.0,18,14,35388.0,2,4,4,10
311.0,115,4,10572.0,4,4,4,12
312.0,101,5,5418.0,4,4,4,12
313.0,7,7,16286.0,1,4,4,9
314.0,372,7,12108.0,4,4,4,12
315.0,9,15,69764.0,1,2,4,7
316.0,20,11,30640.0,2,4,4,10
317.0,193,4,8622.0,4,4,4,12
319.0,15,30,373160.0,2,1,2,5
321.0,238,1,1074.0,4,4,4,12
323.0,110,6,14257.0,4,4,4,12
326.0,72,3,7818.0,3,4,4,11
327.0,40,1,2760.0,3,4,4,11
328.0,142,12,5718.0,4,4,4,12
329.0,61,17,95234.0,3,2,4,9
331.0,3,281,221096.0,1,1,1,3
332.0,4,21,39615.0,1,4,4,9
333.0,165,3,4690.0,4,4,4,12
334.0,82,7,61428.0,3,2,4,9
335.0,7,34,279082.0,1,1,2,4
336.0,18,17,313427.0,2,1,4,7
339.0,10,10,10403.0,1,4,4,9
340.0,17,10,28925.0,2,4,4,10
341.0,56,8,19006.0,3,4,4,11
342.0,8,4,13308.0,1,4,4,9
343.0,556,1,1260.0,4,4,4,12
344.0,201,4,16896.0,4,4,4,12
345.0,7,26,64599.0,1,2,4,7
346.0,239,2,5628.0,4,4,4,12
347.0,212,1,33240.0,4,4,4,12
348.0,62,2,3636.0,3,4,4,11
350.0,67,1,1440.0,3,4,4,11
351.0,31,9,34210.0,3,4,4,11
352.0,64,6,25308.0,3,4,4,11
353.0,69,14,29735.0,3,4,4,11
354.0,60,7,12292.0,3,4,4,11
355.0,20,4,3054.0,2,4,4,10
356.0,366,1,1950.0,4,4,4,12
357.0,11,2,8016.0,2,4,4,10
359.0,258,3,5832.0,4,4,4,12
361.0,265,6,12594.0,4,4,4,12
362.0,337,2,4630.0,4,4,4,12
363.0,11,1,2040.0,2,4,4,10
364.0,342,1,1992.0,4,4,4,12
365.0,365,6,12228.0,4,4,4,12
366.0,174,1,50544.0,4,4,4,12
367.0,75,2,6156.0,3,4,4,11
369.0,180,2,6114.0,4,4,4,12
370.0,200,3,8334.0,4,4,4,12
371.0,253,1,2370.0,4,4,4,12
373.0,205,2,5380.0,4,4,4,12
374.0,96,3,5882.0,4,4,4,12
377.0,50,7,14312.0,3,4,4,11
379.0,89,3,8204.0,4,4,4,12
381.0,67,1,2184.0,3,4,4,11
382.0,34,7,15622.0,3,4,4,11
384.0,315,1,5328.0,4,4,4,12
388.0,36,1,1764.0,3,4,4,11
390.0,261,1,3420.0,4,4,4,12
391.0,45,11,14510.0,3,4,4,11
393.0,35,7,6189.0,3,4,4,11
394.0,4,34,71138.0,1,2,2,5
395.0,198,1,2600.0,4,4,4,12
396.0,18,19,19472.0,2,4,4,10
397.0,79,1,6583.0,3,4,4,11
398.0,43,6,10313.0,3,4,4,11
399.0,134,1,120.0,4,4,4,12
400.0,261,6,29608.0,4,4,4,12
401.0,27,7,8807.0,3,4,4,11
402.0,271,4,7012.0,4,4,4,12
403.0,11,6,1881.0,2,4,4,10
405.0,165,7,9610.0,4,4,4,12
406.0,242,2,1150.0,4,4,4,12
408.0,40,14,9667.0,3,4,4,11
409.0,307,1,1848.0,4,4,4,12
412.0,12,6,15126.0,2,4,4,10
413.0,139,1,1758.0,4,4,4,12
414.0,11,37,33042.0,2,4,2,8
415.0,15,3,6360.0,2,4,4,10
418.0,328,5,4757.0,4,4,4,12
421.0,60,8,35850.0,3,4,4,11
422.0,25,16,23838.0,3,4,4,11
423.0,240,2,4764.0,4,4,4,12
427.0,97,1,2106.0,4,4,4,12
429.0,10,2,3504.0,1,4,4,9
430.0,10,12,18816.0,1,4,4,9
432.0,25,10,3157.0,3,4,4,11
434.0,31,1,492.0,3,4,4,11
435.0,93,3,2572.0,4,4,4,12
437.0,165,13,245973.0,4,1,4,9
438.0,267,2,3294.0,4,4,4,12
439.0,21,2,2442.0,2,4,4,10
440.0,21,9,57480.0,2,2,4,8
442.0,88,4,17964.0,4,4,4,12
443.0,29,8,27804.0,3,4,4,11
444.0,162,1,11208.0,4,4,4,12
445.0,99,2,3699.0,4,4,4,12
449.0,34,3,11472.0,3,4,4,11
450.0,21,3,1995.0,2,4,4,10
451.0,20,37,88756.0,2,2,2,6
453.0,66,4,1504.0,3,4,4,11
454.0,95,1,736.0,4,4,4,12
455.0,5,7,14247.0,1,4,4,9
459.0,73,14,639910.0,3,1,4,8
460.0,25,6,4147.0,3,4,4,11
461.0,69,2,3930.0,3,4,4,11
462.0,88,2,2911.0,4,4,4,12
463.0,20,9,9310.0,2,4,4,10
464.0,32,1,1284.0,3,4,4,11
465.0,17,3,137100.0,2,2,4,8
466.0,55,5,5250.0,3,4,4,11
467.0,103,4,1321.0,4,4,4,12
469.0,36,4,10500.0,3,4,4,11
471.0,110,3,15382.0,4,4,4,12
472.0,255,4,6936.0,4,4,4,12
473.0,32,9,22278.0,3,4,4,11
474.0,3,2,10200.0,1,4,4,9
475.0,177,4,3165.0,4,4,4,12
476.0,38,2,3552.0,3,4,4,11
478.0,3,25,81016.0,1,2,4,7
479.0,308,1,379.0,4,4,4,12
480.0,31,8,21234.0,3,4,4,11
481.0,123,1,2796.0,4,4,4,12
482.0,29,4,9944.0,3,4,4,11
483.0,11,9,6952.0,2,4,4,10
487.0,69,4,1256.0,3,4,4,11
488.0,70,3,6108.0,3,4,4,11
494.0,244,3,4289.0,4,4,4,12
496.0,2,7,35629.0,1,4,4,9
497.0,224,1,5160.0,4,4,4,12
498.0,295,7,3511.0,4,4,4,12
499.0,38,5,12490.0,3,4,4,11
501.0,116,3,6328.0,4,4,4,12
502.0,12,3,5700.0,2,4,4,10
503.0,125,6,9100.0,4,4,4,12
504.0,82,2,3705.0,3,4,4,11
505.0,32,7,23850.0,3,4,4,11
506.0,46,1,4536.0,3,4,4,11
507.0,269,1,2484.0,4,4,4,12
508.0,27,4,7608.0,3,4,4,11
509.0,327,1,1890.0,4,4,4,12
510.0,218,1,2058.0,4,4,4,12
511.0,16,22,40768.0,2,4,4,10
512.0,248,1,1914.0,4,4,4,12
514.0,329,2,2832.0,4,4,4,12
515.0,434,1,1815.0,4,4,4,12
516.0,27,7,13428.0,3,4,4,11
517.0,24,11,32063.0,2,4,4,10
518.0,30,9,25308.0,3,4,4,11
519.0,56,13,25659.0,3,4,4,11
520.0,193,1,1830.0,4,4,4,12
522.0,23,28,64549.0,2,2,2,6
523.0,28,4,11336.0,3,4,4,11
524.0,134,2,4542.0,4,4,4,12
525.0,2,4,9222.0,1,4,4,9
527.0,31,4,9102.0,3,4,4,11
528.0,35,1,2544.0,3,4,4,11
529.0,130,8,5097.0,4,4,4,12
532.0,60,2,3882.0,3,4,4,11
533.0,344,1,8424.0,4,4,4,12
535.0,89,5,10678.0,4,4,4,12
536.0,38,1,2232.0,3,4,4,11
537.0,277,4,9344.0,4,4,4,12
538.0,298,1,2148.0,4,4,4,12
539.0,41,1,2124.0,3,4,4,11
540.0,33,1,2460.0,3,4,4,11
541.0,129,3,3873.0,4,4,4,12
542.0,21,11,12363.0,2,4,4,10
543.0,323,1,1158.0,4,4,4,12
544.0,12,23,36847.0,2,4,4,10
546.0,81,5,11649.0,3,4,4,11
548.0,138,1,924.0,4,4,4,12
549.0,169,2,4076.0,4,4,4,12
550.0,82,1,2400.0,3,4,4,11
552.0,21,1,488.0,2,4,4,10
553.0,648,1,950.0,4,4,4,12
554.0,34,2,3267.0,3,4,4,11
557.0,6,28,34700.0,1,4,2,7
558.0,197,1,2840.0,4,4,4,12
559.0,270,1,2148.0,4,4,4,12
560.0,287,2,8460.0,4,4,4,12
561.0,2,8,4710.0,1,4,4,9
562.0,30,48,163302.0,3,1,2,6
564.0,189,1,1800.0,4,4,4,12
565.0,9,80,252498.0,1,1,1,3
566.0,12,11,26298.0,2,4,4,10
567.0,6,3,8496.0,1,4,4,9
568.0,74,4,7480.0,3,4,4,11
569.0,5,107,345888.0,1,1,1,3
570.0,26,5,10872.0,3,4,4,11
572.0,193,6,13566.0,4,4,4,12
573.0,18,17,79532.0,2,2,4,8
575.0,193,1,2976.0,4,4,4,12
576.0,9,61,101949.0,1,2,2,5
577.0,9,31,192107.0,1,1,2,4
580.0,16,66,190833.0,2,1,2,5
581.0,192,1,5394.0,4,4,4,12
582.0,95,1,3144.0,4,4,4,12
584.0,49,4,10233.0,3,4,4,11
585.0,373,3,20304.0,4,4,4,12
586.0,104,1,2844.0,4,4,4,12
587.0,139,4,5383.0,4,4,4,12
588.0,12,13,18069.0,2,4,4,10
589.0,44,4,13525.0,3,4,4,11
591.0,280,3,4188.0,4,4,4,12
594.0,277,1,576.0,4,4,4,12
595.0,242,9,19170.0,4,4,4,12
596.0,11,22,36939.0,2,4,4,10
597.0,47,7,12567.0,3,4,4,11
598.0,87,1,1270.0,4,4,4,12
599.0,98,1,4920.0,4,4,4,12
600.0,26,5,21228.0,3,4,4,11
603.0,86,6,13396.0,4,4,4,12
605.0,64,10,28412.0,3,4,4,11
606.0,20,42,35439.0,2,4,2,8
608.0,9,13,40098.0,1,4,4,9
609.0,367,1,215.0,4,4,4,12
610.0,85,8,26446.0,4,4,4,12
611.0,21,1,1234.0,2,4,4,10
613.0,90,2,1062.0,4,4,4,12
616.0,30,17,15912.0,3,4,4,11
617.0,311,1,2220.0,4,4,4,12
618.0,297,4,8159.0,4,4,4,12
621.0,373,3,2812.0,4,4,4,12
622.0,58,6,17966.0,3,4,4,11
623.0,41,8,13108.0,3,4,4,11
624.0,38,7,11597.0,3,4,4,11
625.0,31,1,2592.0,3,4,4,11
627.0,243,8,24372.0,4,4,4,12
628.0,50,2,6648.0,3,4,4,11
629.0,78,4,5106.0,3,4,4,11
630.0,42,6,4259.0,3,4,4,11
631.0,323,3,3766.0,4,4,4,12
634.0,307,2,964.0,4,4,4,12
635.0,368,2,2740.0,4,4,4,12
636.0,21,6,6543.0,2,4,4,10
637.0,55,4,5543.0,3,4,4,11
639.0,9,18,49384.0,1,4,4,9
641.0,80,8,59928.0,3,2,4,9
642.0,105,7,4758.0,4,4,4,12
644.0,97,4,6438.0,4,4,4,12
645.0,141,3,517.0,4,4,4,12
647.0,119,4,6432.0,4,4,4,12
648.0,208,1,2412.0,4,4,4,12
651.0,89,5,11328.0,4,4,4,12
652.0,12,25,53578.0,2,2,4,8
653.0,20,13,274200.0,2,1,4,7
654.0,224,4,9096.0,4,4,4,12
655.0,70,3,6804.0,3,4,4,11
657.0,43,6,6186.0,3,4,4,11
658.0,9,49,128999.0,1,2,2,5
660.0,11,2,2942.0,2,4,4,10
661.0,20,8,4424.0,2,4,4,10
665.0,134,1,1224.0,4,4,4,12
667.0,242,5,10282.0,4,4,4,12
669.0,10,4,5855.0,1,4,4,9
674.0,168,1,2358.0,4,4,4,12
675.0,43,33,13160.0,3,4,2,9
676.0,11,24,20658.0,2,4,4,10
677.0,82,5,10788.0,3,4,4,11
678.0,213,1,2064.0,4,4,4,12
679.0,113,2,6018.0,4,4,4,12
684.0,204,7,7395.0,4,4,4,12
686.0,60,1,3012.0,3,4,4,11
687.0,211,7,6740.0,4,4,4,12
689.0,44,3,5874.0,3,4,4,11
691.0,157,5,14844.0,4,4,4,12
694.0,25,1,1572.0,3,4,4,11
695.0,62,3,804.0,3,4,4,11
698.0,268,1,1296.0,4,4,4,12
699.0,6,78,44346.0,1,4,1,6
700.0,54,5,21852.0,3,4,4,11
701.0,9,17,61858.0,1,2,4,7
702.0,33,19,41304.0,3,4,4,11
703.0,22,32,34225.0,2,4,2,8
704.0,16,39,89849.0,2,2,2,6
706.0,39,7,1349.0,3,4,4,11
707.0,90,1,2160.0,4,4,4,12
708.0,116,1,828.0,4,4,4,12
711.0,131,5,8029.0,4,4,4,12
713.0,141,3,2935.0,4,4,4,12
714.0,15,10,43218.0,2,4,4,10
715.0,66,2,2926.0,3,4,4,11
717.0,24,15,24648.0,2,4,4,10
723.0,38,1,2712.0,3,4,4,11
725.0,270,1,2196.0,4,4,4,12
726.0,173,3,8400.0,4,4,4,12
727.0,299,1,813.0,4,4,4,12
729.0,353,3,6138.0,4,4,4,12
730.0,26,2,3300.0,3,4,4,11
732.0,14,5,10749.0,2,4,4,10
733.0,109,2,2274.0,4,4,4,12
734.0,9,4,5604.0,1,4,4,9
735.0,151,3,4497.0,4,4,4,12
736.0,172,1,2292.0,4,4,4,12
737.0,57,5,2227.0,3,4,4,11
738.0,73,2,1064.0,3,4,4,11
739.0,67,7,9970.0,3,4,4,11
740.0,69,5,24468.0,3,4,4,11
741.0,9,36,90949.0,1,2,2,5
742.0,45,14,23168.0,3,4,4,11
744.0,342,1,522.0,4,4,4,12
746.0,90,4,34512.0,4,4,4,12
747.0,87,1,2520.0,4,4,4,12
748.0,162,3,7710.0,4,4,4,12
749.0,232,3,30936.0,4,4,4,12
750.0,34,4,11843.0,3,4,4,11
751.0,41,2,4788.0,3,4,4,11
753.0,18,20,25183.0,2,4,4,10
754.0,81,2,4560.0,3,4,4,11
755.0,104,3,6372.0,4,4,4,12
756.0,203,4,8178.0,4,4,4,12
757.0,142,4,41004.0,4,4,4,12
758.0,264,4,9198.0,4,4,4,12
759.0,178,2,7592.0,4,4,4,12
760.0,17,7,15944.0,2,4,4,10
761.0,200,2,8022.0,4,4,4,12
762.0,163,1,5076.0,4,4,4,12
763.0,67,1,2496.0,3,4,4,11
764.0,99,1,5077.0,4,4,4,12
765.0,20,3,11197.0,2,4,4,10
766.0,68,2,10349.0,3,4,4,11
767.0,62,3,8777.0,3,4,4,11
768.0,163,5,8850.0,4,4,4,12
769.0,73,4,9318.0,3,4,4,11
770.0,81,3,7152.0,3,4,4,11
771.0,230,9,5985.0,4,4,4,12
772.0,270,4,11793.0,4,4,4,12
773.0,10,3,6870.0,1,4,4,9
774.0,16,9,18171.0,2,4,4,10
775.0,20,8,21803.0,2,4,4,10
777.0,34,16,27153.0,3,4,4,11
779.0,199,4,12201.0,4,4,4,12
780.0,366,1,5094.0,4,4,4,12
781.0,373,3,6350.0,4,4,4,12
782.0,96,2,7267.0,4,4,4,12
783.0,43,4,6584.0,3,4,4,11
784.0,90,3,5019.0,4,4,4,12
785.0,41,3,15107.0,3,4,4,11
786.0,30,8,4911.0,3,4,4,11
787.0,9,24,62064.0,1,2,4,7
789.0,50,12,25763.0,3,4,4,11
792.0,81,2,6981.0,3,4,4,11
793.0,81,2,5104.0,3,4,4,11
795.0,39,11,13950.0,3,4,4,11
796.0,136,1,7236.0,4,4,4,12
797.0,31,2,6024.0,3,4,4,11
798.0,19,6,15046.0,2,4,4,10
799.0,317,2,4345.0,4,4,4,12
800.0,226,2,2652.0,4,4,4,12
801.0,311,1,1696.0,4,4,4,12
804.0,10,46,224663.0,1,1,2,4
805.0,26,11,67558.0,3,2,4,9
807.0,134,5,18384.0,4,4,4,12
808.0,82,4,14420.0,3,4,4,11
809.0,99,1,2328.0,4,4,4,12
810.0,41,30,109543.0,3,2,2,7
813.0,292,2,4991.0,4,4,4,12
814.0,40,9,20358.0,3,4,4,11
815.0,300,1,1530.0,4,4,4,12
816.0,27,7,18722.0,3,4,4,11
818.0,130,5,2493.0,4,4,4,12
819.0,10,2,7776.0,1,4,4,9
820.0,26,6,14928.0,3,4,4,11
821.0,89,3,10034.0,4,4,4,12
822.0,83,2,6108.0,3,4,4,11
823.0,32,7,46048.0,3,4,4,11
825.0,9,12,26800.0,1,4,4,9
826.0,169,2,1236.0,4,4,4,12
828.0,25,1,4188.0,3,4,4,11
829.0,15,18,32418.0,2,4,4,10
830.0,24,3,6612.0,2,4,4,10
831.0,11,10,33960.0,2,4,4,10
832.0,12,27,23808.0,2,4,2,8
834.0,261,1,3012.0,4,4,4,12
835.0,367,2,4708.0,4,4,4,12
836.0,10,5,15684.0,1,4,4,9
837.0,19,15,34797.0,2,4,4,10
838.0,37,3,6080.0,3,4,4,11
839.0,347,1,5100.0,4,4,4,12
841.0,60,6,16162.0,3,4,4,11
842.0,185,1,2900.0,4,4,4,12
843.0,9,9,7716.0,1,4,4,9
844.0,6,14,40017.0,1,4,4,9
846.0,7,14,16905.0,1,4,4,9
847.0,334,2,4044.0,4,4,4,12
848.0,239,2,820.0,4,4,4,12
850.0,47,5,10001.0,3,4,4,11
851.0,62,9,21648.0,3,4,4,11
853.0,53,10,16464.0,3,4,4,11
854.0,349,2,4650.0,4,4,4,12
855.0,68,2,5328.0,3,4,4,11
857.0,238,2,5436.0,4,4,4,12
858.0,42,4,9840.0,3,4,4,11
860.0,192,11,29961.0,4,4,4,12
861.0,296,1,1632.0,4,4,4,12
862.0,47,2,3600.0,3,4,4,11
863.0,216,1,2244.0,4,4,4,12
864.0,278,3,50136.0,4,4,4,12
865.0,109,2,3750.0,4,4,4,12
867.0,191,2,2676.0,4,4,4,12
868.0,139,1,2820.0,4,4,4,12
870.0,28,9,12258.0,3,4,4,11
871.0,292,2,2922.0,4,4,4,12
873.0,344,1,1440.0,4,4,4,12
